source,target,type,weight
73,104,Tanimoto,0.7894736842
90,104,Tanimoto,0.9056603774
96,104,Tanimoto,0.7457627119
97,104,Tanimoto,0.7457627119
70,105,Tanimoto,0.7083333333
79,105,Tanimoto,0.7083333333
85,105,Tanimoto,0.7173913043
2,107,Tanimoto,0.9130434783
3,107,Tanimoto,0.8
14,107,Tanimoto,0.7346938776
16,107,Tanimoto,0.82
31,107,Tanimoto,0.8
56,107,Tanimoto,0.8113207547
61,107,Tanimoto,0.8269230769
66,107,Tanimoto,0.7
69,107,Tanimoto,0.9130434783
78,107,Tanimoto,0.7346938776
83,107,Tanimoto,0.8269230769
92,107,Tanimoto,0.8653846154
98,107,Tanimoto,0.9183673469
99,107,Tanimoto,0.7543859649
100,107,Tanimoto,0.8269230769
101,107,Tanimoto,0.8653846154
102,107,Tanimoto,0.8035714286
103,107,Tanimoto,0.8269230769
2,108,Tanimoto,0.7407407407
3,108,Tanimoto,0.7454545455
16,108,Tanimoto,0.8653846154
31,108,Tanimoto,0.7454545455
56,108,Tanimoto,0.7894736842
61,108,Tanimoto,0.7719298246
69,108,Tanimoto,0.7407407407
83,108,Tanimoto,0.7719298246
92,108,Tanimoto,0.7457627119
98,108,Tanimoto,0.7857142857
99,108,Tanimoto,0.7096774194
100,108,Tanimoto,0.8035714286
101,108,Tanimoto,0.7457627119
102,108,Tanimoto,0.9107142857
103,108,Tanimoto,0.7719298246
107,108,Tanimoto,0.7192982456
2,109,Tanimoto,0.8510638298
3,109,Tanimoto,0.8541666667
14,109,Tanimoto,0.75
16,109,Tanimoto,1
31,109,Tanimoto,0.8541666667
56,109,Tanimoto,0.862745098
61,109,Tanimoto,0.88
66,109,Tanimoto,0.7142857143
69,109,Tanimoto,0.8510638298
78,109,Tanimoto,0.75
83,109,Tanimoto,0.88
92,109,Tanimoto,0.8461538462
99,109,Tanimoto,0.8
100,109,Tanimoto,0.9183673469
101,109,Tanimoto,0.8461538462
102,109,Tanimoto,0.7857142857
103,109,Tanimoto,0.88
107,109,Tanimoto,0.82
3,113,Tanimoto,0.7551020408
14,113,Tanimoto,0.8409090909
31,113,Tanimoto,0.7551020408
66,113,Tanimoto,0.8409090909
78,113,Tanimoto,0.8409090909
99,113,Tanimoto,0.7142857143
15,114,Tanimoto,1
32,114,Tanimoto,0.9
38,114,Tanimoto,0.7037037037
44,114,Tanimoto,0.9
89,114,Tanimoto,0.7272727273
3,115,Tanimoto,0.7368421053
16,115,Tanimoto,0.7543859649
31,115,Tanimoto,0.7368421053
56,115,Tanimoto,0.8103448276
61,115,Tanimoto,0.8245614035
83,115,Tanimoto,0.8245614035
92,115,Tanimoto,0.7096774194
98,115,Tanimoto,0.7457627119
99,115,Tanimoto,0.8474576271
100,115,Tanimoto,0.7627118644
101,115,Tanimoto,0.7966101695
103,115,Tanimoto,0.8245614035
109,115,Tanimoto,0.7543859649
113,115,Tanimoto,0.7636363636
51,117,Tanimoto,0.7021276596
57,117,Tanimoto,0.8085106383
57,118,Tanimoto,0.9183673469
48,120,Tanimoto,0.7575757576
70,120,Tanimoto,0.7288135593
94,120,Tanimoto,0.7666666667
3,121,Tanimoto,0.8
14,121,Tanimoto,0.7
31,121,Tanimoto,0.8
56,121,Tanimoto,0.7142857143
61,121,Tanimoto,0.7272727273
66,121,Tanimoto,0.7
78,121,Tanimoto,0.7
83,121,Tanimoto,0.7272727273
101,121,Tanimoto,0.701754386
103,121,Tanimoto,0.7272727273
6,122,Tanimoto,0.7049180328
7,122,Tanimoto,0.7142857143
110,122,Tanimoto,0.8918918919
1,123,Tanimoto,0.9054054054
22,123,Tanimoto,0.9863013699
76,123,Tanimoto,0.9066666667
110,124,Tanimoto,0.7482014388
122,124,Tanimoto,0.75
9,125,Tanimoto,0.96
18,125,Tanimoto,0.96
30,125,Tanimoto,0.76
33,125,Tanimoto,0.8727272727
59,125,Tanimoto,0.96
60,125,Tanimoto,0.8727272727
63,125,Tanimoto,0.7058823529
64,125,Tanimoto,0.96
73,125,Tanimoto,0.8653846154
90,125,Tanimoto,1
96,125,Tanimoto,0.8148148148
97,125,Tanimoto,0.8148148148
104,125,Tanimoto,0.9056603774
